

Committee Timetable
Day 1	Duty Master                        	Security                           	Registration & Form Filling        	Certificate, Souvenirs & Refreshment	FAU                                	
Slot 4	Committee 11                        	Committee 25                        	Committee 26                        	Committee 35                        	Committee 24                        	
Slot 5	Committee 11                        	Committee 25                        	Committee 26                        	Committee 35                        	Committee 24                        	
Slot 6	Committee 11                        	Committee 25                        	Committee 26                        	Committee 35                        	Committee 24                        	
Slot 7	Committee 11                        	Committee 10                        	Committee 26                        	Committee 32                        	Committee 35                        	
Slot 8	Committee 11                        	Committee 10                        	Committee 26                        	Committee 32                        	Committee 35                        	
Slot 9	Committee 11                        	Committee 10                        	Committee 26                        	Committee 32                        	Committee 35                        	
Slot 10	Committee 9                         	Committee 26                        	Committee 30                        	Committee 32                        	Committee 35                        	
Slot 11	Committee 9                         	Committee 26                        	Committee 30                        	Committee 32                        	Committee 35                        	
Slot 12	Committee 9                         	Committee 26                        	Committee 30                        	Committee 35                        	Committee 1                         	
Slot 13	Committee 4                         	Committee 26                        	Committee 30                        	Committee 35                        	Committee 1                         	
Slot 14	Committee 4                         	Committee 26                        	Committee 30                        	Committee 35                        	Committee 1                         	

Day 4	Duty Master                        	Security                           	Registration & Form Filling        	Certificate, Souvenirs & Refreshment	FAU                                	
Slot 1	Committee 10                        	Committee 25                        	Committee 31                        	Committee 23                        	                                      	
Slot 2	Committee 10                        	Committee 25                        	Committee 31                        	Committee 23                        	                                      	
Slot 3	Committee 10                        	Committee 25                        	Committee 31                        	                                      	                                      	
Slot 4	Committee 10                        	Committee 25                        	Committee 20                        	                                      	                                      	
Slot 5	Committee 10                        	                                      	Committee 20                        	                                      	                                      	
Slot 6	Committee 1                         	Committee 15                        	Committee 20                        	Committee 4                         	Committee 3                         	
Slot 7	Committee 1                         	Committee 24                        	Committee 20                        	Committee 4                         	Committee 3                         	
Slot 8	Committee 1                         	Committee 24                        	Committee 20                        	Committee 4                         	Committee 3                         	
Slot 9	Committee 1                         	Committee 24                        	Committee 30                        	Committee 4                         	Committee 3                         	
Slot 10	Committee 1                         	Committee 24                        	Committee 30                        	Committee 4                         	Committee 3                         	
Slot 11	Committee 1                         	Committee 15                        	Committee 28                        	Committee 4                         	Committee 3                         	
Slot 12	Committee 1                         	Committee 15                        	Committee 28                        	Committee 4                         	Committee 3                         	
Slot 13	Committee 1                         	Committee 15                        	Committee 28                        	Committee 4                         	Committee 3                         	
Slot 14	Committee 1                         	Committee 15                        	Committee 28                        	Committee 4                         	Committee 3                         	
